,days,bugs,diff,bug_diff,mean
0,7,12,7,12,1.714285714
1,18,72,11,60,5.454545455
2,29,138,11,66,6
3,42,408,13,270,20.76923077
4,49,532,7,124,17.71428571
5,56,617,7,85,12.14285714
6,83,697,27,80,2.962962963
7,91,801,8,104,13
8,99,961,8,160,20
9,103,991,4,30,7.5
10,122,1194,19,203,10.68421053
11,127,1243,5,49,9.8
12,140,1329,13,86,6.615384615
13,170,1426,30,97,3.233333333
14,176,1471,6,45,7.5
15,215,1515,39,44,1.128205128
16,223,1643,8,128,16
17,238,1872,15,229,15.26666667
18,256,1991,18,119,6.611111111
19,269,2090,13,99,7.615384615
20,286,2137,17,47,2.764705882
21,302,2343,16,206,12.875
22,308,2399,6,56,9.333333333
23,324,2431,16,32,2
24,334,2499,10,68,6.8
25,350,2633,16,134,8.375
26,367,2674,17,41,2.411764706
27,387,2945,20,271,13.55
28,404,2964,17,19,1.117647059
29,414,2996,10,32,3.2
30,427,3130,13,134,10.30769231
31,439,3196,12,66,5.5
32,453,3231,14,35,2.5
33,476,3324,23,93,4.043478261
34,489,3329,13,5,0.384615385
35,526,3401,37,72,1.945945946
36,551,3430,25,29,1.16
37,576,3510,25,80,3.2
38,630,3648,54,138,2.555555556
39,706,3926,76,278,3.657894737
40,724,4121,18,195,10.83333333
41,738,4267,14,146,10.42857143
42,775,4449,37,182,4.918918919
43,815,4629,40,180,4.5
44,847,4767,32,138,4.3125
45,870,4951,23,184,8
46,899,5104,29,153,5.275862069
47,904,5204,5,100,20
48,945,5504,41,300,7.317073171
49,987,6043,42,539,12.83333333
