,days,bugs,diff,bug_diff,mean
0,13,25,13,25,1.923076923
1,22,387,9,362,40.22222222
2,30,593,8,206,25.75
3,32,636,2,43,21.5
4,36,754,4,118,29.5
5,40,861,4,107,26.75
6,44,1001,4,140,35
7,47,1043,3,42,14
8,52,1162,5,119,23.8
9,56,1306,4,144,36
10,58,1351,2,45,22.5
11,60,1419,2,68,34
12,68,1466,8,47,5.875
13,79,1636,11,170,15.45454545
14,83,1786,4,150,37.5
15,86,1837,3,51,17
16,92,1939,6,102,17
17,96,2046,4,107,26.75
18,101,2150,5,104,20.8
19,107,2225,6,75,12.5
20,113,2533,6,308,51.33333333
21,116,2578,3,45,15
22,116,2580,0,2,2
23,121,2666,5,86,17.2
24,124,2695,3,29,9.666666667
25,128,2849,4,154,38.5
26,134,2928,6,79,13.16666667
27,139,2997,5,69,13.8
28,142,3146,3,149,49.66666667
29,148,3199,6,53,8.833333333
30,152,3480,4,281,70.25
31,156,3525,4,45,11.25
32,163,3660,7,135,19.28571429
33,165,3847,2,187,93.5
34,177,3949,12,102,8.5
35,180,4059,3,110,36.66666667
36,187,4158,7,99,14.14285714
37,192,4260,5,102,20.4
38,194,4333,2,73,36.5
39,195,4357,1,24,24
40,198,4459,3,102,34
41,200,4525,2,66,33
42,204,4556,4,31,7.75
43,206,4670,2,114,57
44,212,4773,6,103,17.16666667
45,215,4889,3,116,38.66666667
46,221,5166,6,277,46.16666667
47,225,5199,4,33,8.25
48,230,5273,5,74,14.8
49,232,5326,2,53,26.5
50,236,5445,4,119,29.75
51,238,5450,2,5,2.5
52,240,5526,2,76,38
53,243,5588,3,62,20.66666667
54,243,5590,0,2,2
55,246,5682,3,92,30.66666667
56,254,5757,8,75,9.375
57,261,5848,7,91,13
58,265,5939,4,91,22.75
59,272,5987,7,48,6.857142857
60,277,6258,5,271,54.2
61,279,6310,2,52,26
62,282,6424,3,114,38
63,286,6458,4,34,8.5
64,288,6540,2,82,41
65,291,6586,3,46,15.33333333
66,298,6678,7,92,13.14285714
67,307,6764,9,86,9.555555556
68,311,6865,4,101,25.25
69,319,6960,8,95,11.875
70,319,6962,0,2,2
71,323,7019,4,57,14.25
72,329,7209,6,190,31.66666667
73,332,7260,3,51,17
74,334,7340,2,80,40
75,344,7404,10,64,6.4
76,348,7615,4,211,52.75
77,350,7722,2,107,53.5
78,354,7836,4,114,28.5
79,360,7918,6,82,13.66666667
80,372,8012,12,94,7.833333333
81,380,8163,8,151,18.875
82,384,8243,4,80,20
83,386,8413,2,170,85
84,394,8833,8,420,52.5
85,398,9054,4,221,55.25
86,405,9353,7,299,42.71428571
87,409,9675,4,322,80.5
88,417,9929,8,254,31.75
89,421,10088,4,159,39.75
90,425,10136,4,48,12
91,435,10355,10,219,21.9
92,439,10468,4,113,28.25
93,444,10582,5,114,22.8
94,447,10666,3,84,28
95,449,10714,2,48,24
96,452,10799,3,85,28.33333333
97,458,10903,6,104,17.33333333
98,462,11538,4,635,158.75
99,464,11631,2,93,46.5
