,days,bugs,diff,bug_diff,mean
29,296,2960,1,3,3
58,446,4079,1,15,15
26,286,2793,2,26,13
37,335,3242,2,29,14.5
81,581,5247,2,16,8
28,295,2957,3,52,17.33333333
32,313,3105,3,39,13
33,316,3143,3,38,12.66666667
40,365,3380,3,59,19.66666667
41,368,3484,3,104,34.66666667
42,371,3512,3,28,9.333333333
46,391,3649,3,21,7
51,413,3762,3,26,8.666666667
53,430,3892,3,37,12.33333333
54,433,3928,3,36,12
62,467,4204,3,46,15.33333333
64,476,4250,3,18,6
65,479,4294,3,44,14.66666667
72,524,4722,3,47,15.66666667
74,536,4782,3,27,9
82,584,5271,3,24,8
85,601,5362,3,16,5.333333333
90,637,5571,3,50,16.66666667
93,650,5695,3,47,15.66666667
98,678,5872,3,29,9.666666667
99,681,5933,3,61,20.33333333
18,223,2147,4,137,34.25
25,284,2767,4,3,0.75
49,405,3720,4,20,5
55,437,3957,4,29,7.25
56,441,3988,4,31,7.75
57,445,4064,4,76,19
60,458,4139,4,33,8.25
80,579,5231,4,59,14.75
91,641,5619,4,48,12
31,310,3066,5,36,7.2
34,321,3175,5,32,6.4
38,340,3259,5,17,3.4
43,376,3561,5,49,9.8
47,396,3679,5,30,6
48,401,3700,5,21,4.2
50,410,3736,5,16,3.2
66,484,4316,5,22,4.4
69,501,4533,5,102,20.4
84,598,5346,5,54,10.8
86,606,5379,5,17,3.4
4,59,743,6,75,12.5
17,219,2010,6,50,8.333333333
22,264,2648,6,74,12.33333333
27,292,2905,6,112,18.66666667
35,327,3199,6,24,4
36,333,3213,6,14,2.333333333
44,382,3604,6,43,7.166666667
45,388,3628,6,24,4
61,464,4158,6,19,3.166666667
63,473,4232,6,28,4.666666667
67,490,4375,6,59,9.833333333
68,496,4431,6,56,9.333333333
75,542,4882,6,100,16.66666667
77,558,4997,6,58,9.666666667
78,564,5081,6,84,14
87,612,5412,6,33,5.5
92,647,5648,6,29,4.833333333
94,656,5729,6,34,5.666666667
95,662,5750,6,21,3.5
96,668,5790,6,40,6.666666667
3,53,668,7,343,49
5,66,794,7,51,7.285714286
9,122,1372,7,68,9.714285714
12,150,1630,7,98,14
23,271,2742,7,94,13.42857143
71,521,4675,7,90,12.85714286
97,675,5843,7,53,7.571428571
2,46,325,8,136,17
7,101,1141,8,137,17.125
10,130,1445,8,73,9.125
20,249,2454,8,193,24.125
59,454,4106,8,27,3.375
89,634,5521,8,43,5.375
21,258,2574,9,120,13.33333333
24,280,2764,9,22,2.444444444
30,305,3030,9,70,7.777777778
73,533,4755,9,33,3.666666667
83,593,5292,9,21,2.333333333
76,552,4939,10,57,5.7
79,575,5172,11,91,8.272727273
11,143,1532,13,87,6.692307692
70,514,4585,13,52,4
8,115,1304,14,163,11.64285714
16,213,1960,14,68,4.857142857
52,427,3855,14,93,6.642857143
88,626,5478,14,66,4.714285714
13,166,1712,16,82,5.125
15,199,1892,16,147,9.1875
1,38,189,17,120,7.058823529
14,183,1745,17,33,1.941176471
19,241,2261,18,114,6.333333333
0,21,69,21,69,3.285714286
39,362,3321,22,62,2.818181818
6,93,1004,27,210,7.777777778
